,meal_id,meal_name,meal_created_at,meal_updated_at,meal_category,day_id,meal_price_student,meal_price_employee,meal_price_pupil,meal_price_other,canteen_id,date,days_created_at,days_updated_at,date_correct,canteen_name,canteen_address,canteen_created_at,canteen_updated_at,canteen_last_fetched_at,canteen_longitude,canteen_latitude,canteen_city,canteen_state,geometry,meal_super_category,notes_list,notes_count,notes_list_90,notes_count_90
1677348,712418,Salzkartoffeln,2014-01-15 07:03:02.654201,2014-01-15 07:03:02.654201,Beilagen,59106,,,,,144,2014-02-05,2014-01-15 07:03:02.562536,2014-01-15 07:03:02.562536,2014-02-05,StuCafé in der Mensa Garching,"Lichtenbergstr. 2, Garching",2012-08-26 03:07:11.121130,2019-11-13 20:34:25.999668,2022-02-24 13:02:10.220795,11.670377254486084,48.26738360345558,Garching b.München,active,POINT (11.67037725448608 48.26738360345558),side_dish,veganes Gericht,1,veganes Gericht,1
2670407,2592849,"Schweineschnitzel, Putenfrikadelle, Vegetarisches Schnitzel",2017-04-30 06:05:29.423591,2017-04-30 06:05:29.423591,Snacks,233178,,,,,172,2017-05-05,2017-04-30 06:05:29.300779,2017-04-30 06:05:29.300779,2017-05-05,Cafeteria GW2,"Enrique-Schmidt-Straße, 28359 Bremen, Germany",2013-07-08 19:06:25.630285,2015-07-04 00:47:04.604514,2020-03-13 07:19:08.653795,8.8539719581604,53.10737126912262,Bremen,active,POINT (8.8539719581604 53.10737126912262),mix,,0,,0
2884430,1222999,Belegte Brötchen finden Sie in großer Auswahl im Kühlthresen,2015-02-28 10:02:41.490608,2015-02-28 10:02:41.490608,Belegte Brötchen,107286,,,,,170,2015-03-04,2015-02-28 10:02:41.365344,2015-02-28 10:02:41.365344,2015-03-04,Mensa am Airport,"Flughafenallee 10, 28199 Bremen, Germany",2013-07-08 19:01:23.848133,2015-07-04 00:47:06.149077,2020-03-13 07:12:52.775332,8.78341777303855,53.0551731,Bremen,active,POINT (8.783417773038551 53.0551731),unmatched,,0,,0
2107760,5163095,Countrykartoffeln,2020-09-23 06:08:52.532736,2020-09-23 06:08:52.532736,Beilagen,575775,,,,,133,2020-10-20,2020-09-23 06:08:52.444954,2020-09-23 06:08:52.444954,2020-10-20,Mensa Leopoldstraße,"Leopoldstraße 13a, München ",2012-08-26 02:53:41.592872,2019-11-13 20:35:05.622376,2022-02-24 13:03:42.688682,11.5820574760437,48.1564026393375,München,active,POINT (11.5820574760437 48.1564026393375),side_dish,Glutenhaltiges Getreide;Weizen;vegetarisch,3,Glutenhaltiges Getreide;vegetarisch;Weizen,3
2880981,1347929,Kleiner Beilagensalat,2015-05-19 06:07:37.368523,2015-05-19 06:07:37.368523,Beilage,118770,0.5,0.7,,0.7,164,2015-05-29,2015-05-19 06:07:37.261018,2015-05-19 06:07:37.261018,2015-05-29,"Lüneburg, Mensa Rotes Feld","Wilschenbrucher Weg 84, 21335 Lüneburg, Deutschland",2013-06-10 12:11:24.147485,2019-09-23 21:05:34.567224,2017-07-07 12:01:12.968857,10.4117916,53.237045,Lüneburg,archived,POINT (10.4117916 53.237045),side_dish,vegan,1,vegan,1
1148147,536393,"Räuchertofu mit Haferflockenkruste an Chili-Dip, dazu Erdnussreis 
und Salat",2013-07-26 06:06:48.449072,2013-08-07 12:01:07.185515,Fit & Vital Komplettangebot,38590,2.76,4.41,,,78,2013-08-07,2013-07-22 06:03:49.653948,2013-07-22 06:03:49.653948,2013-08-07,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",2012-08-19 14:15:55.404600,2021-03-01 07:05:08.624070,2023-08-05 14:00:37.897562,13.7286415224337,51.03155355,Dresden,active,POINT (13.7286415224337 51.03155355),unmatched,Menü ist vegan,1,Menü ist vegan,1
4293743,11938448,Pommes Frites MAXI PORTION Ausgabe 5,2022-09-14 08:57:18.793085,2022-09-14 12:06:57.277612,Beilagen,872243,1.8,2.35,,3.1,1650,2022-09-14,2022-08-29 08:57:12.688493,2022-08-29 08:57:12.688493,2022-09-14,"Greifswald, Mensa Berthold-Beitz-Platz","Walther-Rathenau-Straße 48, 17489 Greifswald",2022-03-22 13:54:15.122818,2022-03-22 13:54:37.904890,2023-08-05 09:16:27.423258,13.403481703853792,54.0900909,Greifswald,active,POINT (13.40348170385379 54.0900909),side_dish,,0,,0
1608992,8958010,"Chinakohl-Mandarinensalat, Kräutervinaigrette",2021-12-01 11:01:15.047266,2021-12-01 11:01:15.047266,QUEERBEET,717655,0.65,0.95,,1.15,7,2021-12-01,2021-11-22 07:04:36.635076,2021-11-22 07:04:36.635076,2021-12-01,"Hannover, Contine","Königsworther Platz 1, 30167 Hannover",2012-08-18 22:49:00.316506,2015-07-04 00:47:05.980619,2023-08-05 14:00:40.818275,9.7238821,52.3791768,Hannover,active,POINT (9.723882100000001 52.3791768),main_dish,ohne Fleisch;vegan;Natürlich frisch;KlimaTeller,4,vegan;ohne Fleisch;Natürlich frisch,3
3290892,4416378,Chili con Carne,2019-07-23 06:18:08.621350,2019-07-23 06:18:08.621350,Menü 2,455021,2.95,4.15,,5.3,226,2019-08-06,2019-07-23 06:18:08.605054,2019-07-23 06:18:08.605054,2019-08-06,Mensa am Aasee,"Bismarckallee 11, 48151 Münster, Germany",2015-03-30 22:05:06.402527,2020-08-31 17:41:29.051587,2020-08-07 06:08:15.773851,7.617173194885254,51.95559907492898,Münster,archived,POINT (7.617173194885254 51.95559907492898),main_dish,"Rind;Enthält Zusatzstoffe: Antioxidationsmittel, Konservierungsstoff",2,Rind,1
4342099,15783225,Salatbuffet mit vegetarischen und veganen Komponenten,2023-06-21 09:30:19.717423,2023-06-21 09:30:19.717423,Salat-/ Gemüsebuffet 100g,1053243,1.0,,1.4,1.4,1768,2023-07-05,2023-06-21 09:30:19.607871,2023-06-21 09:30:19.607871,2023-07-05,Mensa Prinz Karl,"Hafengasse 6, 72070 Tübingen",2023-02-06 22:00:42.311925,2023-02-06 22:05:10.257275,2023-07-28 09:30:13.539383,9.0560854,48.5209604,Tübingen,active,POINT (9.056085400000001 48.5209604),unmatched,Eier;Gerste;Konservierungsstoff;Senf;Soja;Weizen;vegetarisch,7,Konservierungsstoff;vegetarisch;Soja;Senf;Eier;Weizen;Gerste,7
120210,3126088,"Spaghetti - Pfanne mit Ratatouille und Tofu[Gl,ML]",2018-02-26 11:21:05.346434,2018-02-26 11:21:05.346434,Gut & Günstig,295362,2.6,3.25,2.95,4.0,32,2018-04-17,2018-02-26 11:21:05.305173,2018-02-26 11:21:05.305173,2018-04-17,"Karlsruhe, Mensa Moltke","Moltkestraẞe, Karlsruhe",2012-08-19 00:37:33.199217,2015-07-04 00:47:00.577277,2022-06-13 09:10:55.328572,8.39406967163086,49.01481416420907,Karlsruhe,active,POINT (8.394069671630859 49.01481416420907),other,,0,,0
4093250,11349298,Mensa-Vital: Kichererbsen - Gemüse - Curry mit Basmatireis,2022-06-06 06:01:32.655373,2022-06-13 13:08:51.629226,Vital - Essen,829101,2.1,3.4,,4.35,259,2022-06-13,2022-06-06 06:01:32.640830,2022-06-06 06:01:32.640830,2022-06-13,"Würz­burg, Mensateria Campus Nord"," Emil Hilb Weg 12 , 97074 Würz­burg ",2016-02-24 13:43:38.761666,2019-02-06 05:50:11.133553,2023-08-05 14:03:28.773556,9.9691371,49.78546435,Würzburg,active,POINT (9.969137099999999 49.78546435),main_dish,Vegan,1,Vegan,1
1346534,2342707,Bierbrat'l mit Sauce,2016-12-12 07:06:18.252262,2016-12-12 07:06:18.252262,Tagesgericht 4,208352,2.4,2.95,,3.45,135,2016-12-14,2016-12-12 07:06:18.227826,2016-12-12 07:06:18.227826,2016-12-14,Mensaria Großhadern,"Butenandtstr. 13, München ",2012-08-26 02:56:06.289853,2019-11-13 20:38:31.380965,2019-06-25 12:07:22.061264,11.467527151107788,48.11366351685458,München,archived,POINT (11.46752715110779 48.11366351685458),main_dish,mit Fleisch;Schweinefleisch;Gericht mit Alkohol,3,Schweinefleisch;mit Fleisch,2
2971442,2214213,"Pfeffergeschnetzeltes vom Rind dazu eine Beilage nach Wahl (A,C,G,9)",2016-10-08 06:08:42.874694,2016-10-08 06:08:42.874694,Mensa,196921,2.8,,,,177,2016-10-11,2016-10-08 06:08:42.869655,2016-10-08 06:08:42.869655,2016-10-11,"Darmstadt, Bistro Haardtring","Haardtring 100, 64295 Darmstadt, Germany",2013-08-27 23:44:08.137908,2021-02-21 19:19:46.373102,2020-06-15 11:07:21.658455,8.632475137710571,49.86590179654288,Darmstadt,archived,POINT (8.632475137710571 49.86590179654288),mix,,0,,0
3245977,4383020,Orangenwaffel mit Sahne,2019-07-09 06:13:19.985138,2019-07-09 06:13:19.985138,Essen 7,450545,1.8,3.4,,3.4,211,2019-07-15,2019-07-09 06:13:19.937942,2019-07-09 06:13:19.937942,2019-07-15,Cafeteria Bockenheim,Bockenheimer Landstraße 133 60325 Frankfurt am Main ,2015-01-28 22:29:00.802866,2015-07-04 00:47:07.491658,2023-07-25 08:03:37.331422,8.6519106,50.1195207,Frankfurt am Main,active,POINT (8.651910600000001 50.1195207),main_dish,vegetarisch,1,vegetarisch,1
3347864,6270333,", Pfefferrahmsoße ",2021-01-25 08:30:14.521430,2021-01-25 08:30:14.521430,Menü 1,621832,,,,,285,2021-01-25,2021-01-25 08:30:14.392822,2021-01-25 08:30:14.392822,2021-01-25,"Mannheim, Mensa am Schloss","Mannheim, Mensa am Schloss Bismarckstraße 10 68159 Mannheim",2016-05-15 21:04:00.565932,2016-05-15 21:25:42.035073,2023-08-04 14:12:57.180024,8.459182977676392,49.4847363821899,Mannheim,active,POINT (8.459182977676392 49.4847363821899),main_dish,Glutenhaltiges Getreide;Milch/Laktose;Sellerie;Soja;Vegetarisch;Weizen,6,Glutenhaltiges Getreide;Soja;Sellerie;Vegetarisch;Weizen;Milch/Laktose,6
